,close
2013/8/19,3609.028
2013/8/20,3599.637
2013/8/21,3627.501
2013/8/22,3636.469
2013/8/23,3627.97
2013/8/26,3703.593
2013/8/27,3732.098
2013/8/28,3703.92
2013/8/29,3701.083
2013/8/30,3664.148
2013/9/2,3689.959
2013/9/3,3744.871
2013/9/4,3755.239
2013/9/5,3762.569
2013/9/6,3792.832
2013/9/9,3831.927
2013/9/10,3870.923
2013/9/11,3834.258
2013/9/12,3845.068
2013/9/13,3849.82
2013/9/16,3854.207
2013/9/17,3786.292
2013/9/18,3822.123
2013/9/23,3899.625
2013/9/24,3903.518
2013/9/25,3889.221
2013/9/26,3808.216
2013/9/27,3822.758
2013/9/30,3872.893
2013/10/8,3938.068
2013/10/9,3981.058
2013/10/10,3959.63
2013/10/11,4026.916
2013/10/14,4068.32
2013/10/15,4074.083
2013/10/16,3963.212
2013/10/17,3956.965
2013/10/18,3970.641
2013/10/21,4069.033
2013/10/22,4026.516
2013/10/23,3924.219
2013/10/24,3898.156
2013/10/25,3821.779
2013/10/28,3808.703
2013/10/29,3703.86
2013/10/30,3764.453
2013/10/31,3713.829
2013/11/1,3702.445
2013/11/4,3728.188
2013/11/5,3777.404
2013/11/6,3737.106
2013/11/7,3685.04
2013/11/8,3629.94
2013/11/11,3645.84
2013/11/12,3680.536
2013/11/13,3611.76
2013/11/14,3659.83
2013/11/15,3736.452
2013/11/18,3827.882
2013/11/19,3840.365
2013/11/20,3878.584
2013/11/21,3865.41
2013/11/22,3842.756
2013/11/25,3839.602
2013/11/26,3845.676
2013/11/27,3889.755
2013/11/28,3922.666
2013/11/29,3946.383
2013/12/2,3770.865
2013/12/3,3859.955
2013/12/4,3932.998
2013/12/5,3928.724
2013/12/6,3918.783
2013/12/9,3947.704
2013/12/10,3950.486
2013/12/11,3906.78
2013/12/12,3916.962
2013/12/13,3925.434
2013/12/16,3857.715
2013/12/17,3834.027
2013/12/18,3834.045
2013/12/19,3795.023
2013/12/20,3747.002
2013/12/23,3742.738
2013/12/24,3768.703
2013/12/25,3808.453
2013/12/26,3743.132
2013/12/27,3800.774
2013/12/30,3813.003
2013/12/31,3829.096
2014/1/2,3847.879
2014/1/3,3816.316
2014/1/6,3710.898
2014/1/7,3733.662
2014/1/8,3738.205
2014/1/9,3696.023
2014/1/10,3628.634
